id,created_at,text
763811723879018496,2016-08-11 18:58:00,"b'2/2  How do you \xe2\x80\x9cunleash the power of corporations\xe2\x80\x9d if you do nothing about the strangulating regulations, which she said zero about'"
763811504751800320,2016-08-11 18:57:08,b'1/2 Hillary\xe2\x80\x99s speech was a mishmash of contradictions.  For example\xe2\x80\xa6'
763098338103267328,2016-08-09 19:43:16,b'I\xe2\x80\x99ll be on @FoxBusiness at 5:00 p.m. ET speaking with Adam Shapiro @Ajshaps'
763098257786634240,2016-08-09 19:42:56,b'I\xe2\x80\x99ll be on Quest Means Business @questCNN at 4:00 p.m. ET on CNN International'
763072653343076352,2016-08-09 18:01:12,b'Trump is right on about our economy. Read more: https://t.co/mwewRWTMoE'
763033163576774656,2016-08-09 15:24:17,"b'2/2  How many of our presidents, even our great presidents, would have handled the antics that went on in that auditorium as well as he did?'"
763032786504679424,2016-08-09 15:22:47,b'1/2   Believe Trump gave a great speech.'
761269470610554880,2016-08-04 18:36:00,b'Taj Ownership Issues Letter to Taj Employees: https://t.co/CdPX0stRVH'
755543675736915968,2016-07-19 23:23:44,"b""I'll be speaking to @trish_regan tonight on @FoxBusiness after @SpeakerRyan finishes his speech, around 9:30pm ET."""
753930827520770048,2016-07-15 12:34:51,b'Pleased to see $HLF has settled with the FTC.  Read my statement here: https://t.co/NkC7l8kiEJ'
752608037278457856,2016-07-11 20:58:33,b'Nice writeup on @waynepacelle \xe2\x80\x98s new book \xe2\x80\x98The Humane Economy\xe2\x80\x99. Happy to have helped this important cause. https://t.co/taIUAHOmaM'
737636647005786113,2016-05-31 13:27:35,b'We have recently acquired a large position in Allergan $AGN &amp; are very supportive of CEO Brent Saunders. Read more: https://t.co/5OoDWo6Q0g'
730783306053193728,2016-05-12 15:34:52,b'Happy Cheniere ( $LNG) appointed Jack Fusco as CEO.  I think it\xe2\x80\x99s a great step in the right direction. https://t.co/uVu0pBHmdw'
729747621796007936,2016-05-09 18:59:25,b'Carl Icahn Issues Statement in Response to Bernie Sanders Remarks: https://t.co/yas7P8zJ4V'
725717908056330241,2016-04-28 16:06:47,b'I\xe2\x80\x99ll be on @CNBC \xe2\x80\x98s @PowerLunch today around 2pmET'
705749094447374336,2016-03-04 13:37:50,b'2/2 Hologic is the quintessential example of activism at its best. We commend Steve MacMillan for a job well done.'
705748888708370432,2016-03-04 13:37:01,b'1/2 Yesterday our designees resigned from the $HOLX board because the situation no longer calls for activism.'
705147182870044672,2016-03-02 21:46:04,b'2/2 I am saddened to have heard the news.'
705147132274147329,2016-03-02 21:45:51,"b""1/2 Aubrey McClendon was one of the brightest men I've ever dealt with. I personally always found him to be a gentleman in our interactions."""
697892484807069696,2016-02-11 21:18:29,b'Happy to announce we reached an agreement to join the board of $AIG: https://t.co/r2i90z73Mm'
693072309695987712,2016-01-29 14:04:49,b'4/4  I hope and believe the results will be just as good for $XRX shareholders'
693072201264840705,2016-01-29 14:04:24,b'3/4  I applaud and respect Ursula Burns for doing what she believes shareholders want \xe2\x80\x93 as @Donahoe_John did with $EBAY and $PYPL'
693072142406176769,2016-01-29 14:04:10,b'2/4  We believe the separation will greatly enhance value for $XRX shareholders'
693072057165312000,2016-01-29 14:03:49,b'1/4  Happy to announce we reached an agreement with $XRX re: separation into two independent public companies: https://t.co/KoRmzNkzTb'
689440031728009217,2016-01-19 13:31:27,b'We just released a statement (including other important information) on $AIG \xe2\x80\x93 available here: https://t.co/Th3WHxcPCk'
681589554948644864,2015-12-28 21:36:27,b'Just made a new offer to acquire Pep Boys for $18.50 per share: https://t.co/w9OLzD7jFD'
679656892826796032,2015-12-23 13:36:45,b'$PBY informed $IEP that our amended bid continues to be superior and they intend to terminate Bridgestone deal. See: https://t.co/Ch1xcI6sFh'
678932085143379968,2015-12-21 13:36:37,b'$PBY informed $IEP that our increased $16.50 bid is superior &amp; they intend to terminate Bridgestone deal. See filing https://t.co/AAR5v4xKRi'
676373780902649856,2015-12-14 12:10:50,b'I wrote an op-ed in the @nytimes regarding repatriation.  You can read it here: https://t.co/fDYCWOnlpg'
676247922363731969,2015-12-14 03:50:43,"b'Regarding the termination of Charif Souki as CEO of Cheniere, we have made the following statement: https://t.co/Ls7E0Yv6v9'"
675367106817454080,2015-12-11 17:30:40,b'If you haven\xe2\x80\x99t seen \xe2\x80\x98Danger Ahead\xe2\x80\x99 watch it on https://t.co/4rVAcLBsH9. Unfortunately I believe the meltdown in High Yield is just beginning'
675366546605252608,2015-12-11 17:28:27,"b'You should also read, \xe2\x80\x9cJunk-Bond Fear Gauge Nears 3-Year High After Third Avenue Freeze\xe2\x80\x9d: https://t.co/DiDtq2iFKA'"
675366443500871684,2015-12-11 17:28:02,"b""Should read this, especially if you are in the market:  \xe2\x80\x9cLike Icahn, SEC Sees 'Danger Ahead' in These Risky ETFs\xe2\x80\x9d https://t.co/2J3cLZ9gQL"""
672777402897063936,2015-12-04 14:00:07,b'Very happy about this transaction: https://t.co/KruoDGnAQ1'
672395527917580288,2015-12-03 12:42:41,"b""I was recently a guest on @boonepickens 's podcast.  You can watch it here: https://t.co/oOVVZDEGu1"""
668791339077779456,2015-11-23 14:00:55,b'We just released a statement (including other important information) on $AIG \xe2\x80\x93 available here: https://t.co/QOVsS3kgg4'
664509147996626944,2015-11-11 18:25:01,b'I\xe2\x80\x99ll be speaking with @TeamCavuto today at 1:40pm ET on @FoxBusiness'
661319353544126464,2015-11-02 23:09:55,b'I\xe2\x80\x99ll be on @MariaBartiromo \xe2\x80\x98s \xe2\x80\x98Mornings with Maria\xe2\x80\x99 tomorrow at 7:20 a.m. ET on @FoxBusiness'
659792132207677440,2015-10-29 18:01:17,b'3/3 There is no reason Congress cannot act now to pass international tax reform with the Highway Bill.Read my letter https://t.co/fbbB8mNWMR'
659791847540264961,2015-10-29 18:00:09,b'2/3 Today Pfizer confirmed they are planning to move out of the country. The situation is much more dangerous than most people believe.'
659791787842736128,2015-10-29 17:59:55,"b'1/3 Unfortunately, my warning concerning the imminent exodus of many of our best companies is coming true.'"
659355099848941569,2015-10-28 13:04:40,b'I own a large stake in AIG and have just sent the following letter to the CEO: https://t.co/YbwIYpRfVE'
659045301785874436,2015-10-27 16:33:39,b'Senator Rob Portman is right on: https://t.co/yzBqnj80sP'
658640616570671104,2015-10-26 13:45:34,"b'Good article by @zachmider @bpolitics re my super PAC, view of inversions and some recent criticism: https://t.co/kdTcqWkNwJ'"
656912346414252032,2015-10-21 19:18:02,b'I\xe2\x80\x99ll be speaking with @PoppyHarlowCNN on Quest Means Business @CNN International today at 4pm ET'
656853508650459136,2015-10-21 15:24:14,b'I\xe2\x80\x99ll be speaking with @ScottWapnerCNBC on @CNBC @HalftimeReport today at 12:30pm ET'
656847655667011588,2015-10-21 15:00:59,b'2/2   I have therefore sent the following letter to the relevant committees and leaders of Congress: https://t.co/EGcuHvzou4'
656847494584799233,2015-10-21 15:00:21,b'1/2   I am starting a Super PAC with my initial commitment of $150 million to help end the crippling dysfunction in Congress'
651753340112646145,2015-10-07 13:37:59,b'Happy to announce we reached an agreement to join Freeport-McMoRan $FCX board: http://t.co/ogZ2qed6kN'
651067549703118848,2015-10-05 16:12:54,b'I\xe2\x80\x99ll be speaking with @trish_regan on @FOXBUSINESS today at 2:15pm ET'
649997467023450112,2015-10-02 17:20:47,"b'If you want to know what\xe2\x80\x99s wrong with earnings these days, @jciesielski \xe2\x80\x99s recent reports are a must-read: http://t.co/b4zTjxbc8y'"
649650382734557184,2015-10-01 18:21:35,b'Here\xe2\x80\x99s the full interview I had with @ScottWapnerCNBC yesterday on @CNBC:\nhttps://t.co/1ayVQK86OL'
649642907075526656,2015-10-01 17:51:53,b'Good article by @nathanvardi @Forbes about #DangerAhead\nhttps://t.co/qPxc803WrU'
649252737415258112,2015-09-30 16:01:29,b'I\xe2\x80\x99ll be speaking with @ScottWapnerCNBC on @HalftimeReport today at 12:15pm ET re markets and \xe2\x80\x98Danger Ahead\xe2\x80\x99'
648860840523902977,2015-09-29 14:04:14,"b'You can watch my new video, \xe2\x80\x98Danger Ahead,\xe2\x80\x99 on http://t.co/4rVAcLBsH9'"
648709060678823937,2015-09-29 04:01:07,"b""'Danger Ahead' is now available on http://t.co/4rVAcLBsH9"""
648436400883412992,2015-09-28 09:57:39,b'Danger Ahead will be available tonight at midnight on http://t.co/4rVAcLBsH9.  You can watch the trailer there now.'
648436208222248961,2015-09-28 09:56:54,b'I\xe2\x80\x99m releasing a new video at midnight called \xe2\x80\x9cDanger Ahead.\xe2\x80\x9d It covers several critical matters I believe we need to be far more aware of.'
638372524171071488,2015-08-31 15:27:24,b'Excellent @barronsonline article that reiterates the dangers of #ETF s I debated during @DeliveringAlpha on @CNBC: http://t.co/05XDhV3h3b'
635802140427087872,2015-08-24 13:13:37,b'Happy to announce we reached an agreement to join Cheniere $LNG board: http://t.co/RXbioJjEnf'
633767724351549440,2015-08-18 22:29:34,b'Clip from Alan Greenspan\xe2\x80\x99s interview with @trish_regan is worth watching.  http://t.co/warLpL51B4'
629731132020555777,2015-08-07 19:09:36,"b'3/3  In both areas, we are in dire need of a breath of fresh air.'"
629731085883154432,2015-08-07 19:09:25,"b'2/3 Seriously, the methods of electing our corporate and political leaders have become completely dysfunctional.'"
629731049686364160,2015-08-07 19:09:16,b'1/3 After last night\xe2\x80\x99s debate I decided to accept @realDonaldTrump offer for Secretary of Treasury.'
628658283918852096,2015-08-04 20:06:29,"b'2/2  Happy we were instrumental in bringing Steve in, and think he\xe2\x80\x99s done a great job.'"
628658180990599168,2015-08-04 20:06:04,b'1/ 2  Trimmed our position but remain a huge supporter of Steve MacMillan and the @Hologic ($HOLX) team.'
623187610429693952,2015-07-20 17:47:59,b'This recent @WSJ piece shows other investors are concerned about a bond ETF crisis too. More to come on this soon: http://t.co/d2B23QuIDz'
621337939558182912,2015-07-15 15:18:03,b'I\xe2\x80\x99ll be debating w/ Larry Fink at @DeliveringAlpha today at 4:40pm ET.  @ScottWapnerCNBC to moderate.  Will be live on @CNBC.'
613727158909833217,2015-06-24 15:15:31,"b'2/2   If more respected investors had warned about the market in \xe2\x80\x9907, we might have avoided the crisis in \xe2\x80\x9908.'"
613727064164663296,2015-06-24 15:15:09,b'1/2   I believe the market is extremely overheated \xe2\x80\x93 especially high yield bonds.'
613718497219076096,2015-06-24 14:41:06,b'Sold last of our $NFLX today.  Believe $AAPL currently represents same opportunity we stated NFLX offered several years ago.'
611983515748470785,2015-06-19 19:46:54,b'You can see my intvw w/ @trish_regan &amp; @TeamCavuto on @FoxBusiness re interest rates &amp; more: http://t.co/JXvRPFl0oB ; http://t.co/GsuxQC7T0b'
611921396747272192,2015-06-19 15:40:04,b'A few remarks re @realDonaldTrump running for President &amp; wanting to nominate me for the Secretary of Treasury. http://t.co/7VRkNvV2RT'
608347419819057154,2015-06-09 18:58:22,b'Read my response to @UHLocal54 re important facts about their union: http://t.co/BgAPA73AQA'
605413787747770368,2015-06-01 16:41:09,b'I\xe2\x80\x99ll be speaking with @TrishIntel  on \xe2\x80\x98Trish Regan Intel\xe2\x80\x99 today around 2:30pm ET on @FoxBusiness.'
605380762393669632,2015-06-01 14:29:55,b'Pleased to announce $IEP closed acquisition of substantially all assets of Uni-Select USA &amp; Beck/Arnley Worldparts: http://t.co/DIdb6TV1kK'
604303187621724160,2015-05-29 15:08:01,b'You can watch the 2nd part of my @WallStreetWeek intrview w/ @Scaramucci @GaryKaminsky this Sunday - 11AM ET on FOX &amp; http://t.co/BQAZ9tFGvD'
601750341655220225,2015-05-22 14:03:56,b'Good article in @Reuters by @SamuelForgione re $AAPL: http://t.co/Fwq4mYoQMj'
600315019041996800,2015-05-18 15:00:28,b'Think you will find our latest letter to @tim_cook re $AAPL interesting: http://t.co/w6e9XvWptb'
594261430569861120,2015-05-01 22:05:40,b'I\xe2\x80\x99ll be on @WallStreetWeek Sunday discussing #Apple $AAPL + more with @Scaramucci &amp; @GaryKaminsky. Tune in 11AM ET at http://t.co/MQ1LyfL0fo'
593073924822343680,2015-04-28 15:26:57,b'$AAPL is still undervalued and misunderstood. Expect to put out another in-depth report within two weeks.'
578533042387427328,2015-03-19 12:26:40,b'Just wrote a letter to the unionized employees of the Trump Taj Mahal. Read it at http://t.co/dr8YSH7KKl'
577453355477393410,2015-03-16 12:56:23,"b'For those interested in #corpgov issues, the Peltz intw w/ @davidfaber &amp; @jimcramer is a must watch.Great points made http://t.co/kFKOKBglyL'"
572372186754908160,2015-03-02 12:25:38,b'See my thoughts on our agreement with $GCI on http://t.co/ndG9m96YVP\xe2\x80\xa6Another step forward for corporate governance'
